# lat,lng,id,name,building_type,type,url,page_type
# mondragone -- Tutti
41.114515,13.933076,ov_ristorante_lunatenuta_41.1145_13.9331,Ristorante Lunatenuta,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/ristorante_lunatenuta_41.1145_13.9331.json,custom
41.059219,13.928458,ov_pizzeria_papico_41.0592_13.9285,Pizzeria Papico,RESTAURANT,ristorante,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/pizzeria_papico_41.0592_13.9285.json,custom
41.139510,13.856259,ov_bar_tabacchi_rivetti_41.1395_13.8563,Bar Tabacchi Rivetti,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/bar_tabacchi_rivetti_41.1395_13.8563.json,custom
41.133773,13.858899,ov_lido_copacabana_mondragone_41.1338_13.8589,Lido Copacabana Mondragone,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/lido_copacabana_mondragone_41.1338_13.8589.json,custom
41.120040,13.873289,ov_bay_beach_bar_41.1200_13.8733,Bay Beach Bar,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/bay_beach_bar_41.1200_13.8733.json,custom
41.117450,13.876944,ov_caffe_domizia_41.1174_13.8769,Caffe Domizia,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/caffe_domizia_41.1174_13.8769.json,custom
41.116073,13.879243,ov_bar_2_0_41.1161_13.8792,Bar 2.0,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/bar_20_41.1161_13.8792.json,custom
41.116020,13.879220,ov_luxor_caf__41.1160_13.8792,Luxor Cafè,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/luxor_caf_41.1160_13.8792.json,custom
41.115561,13.879614,ov_bar_cocktail_41.1156_13.8796,Bar Cocktail,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/bar_cocktail_41.1156_13.8796.json,custom
41.114652,13.878241,ov_kromosoma_11_41.1147_13.8782,Kromosoma 11,RESTAURANT,bar_cafe,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/campania/mondragone/pages/kromosoma_11_41.1147_13.8782.json,custom
