# lat,lng,id,name,building_type,type,url,page_type
# Mentana -- Tutti
42.040385,12.644546,ov_lab_47_42.0404_12.6445,LAB 47,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/lab_47_42.0404_12.6445.json,custom
42.040388,12.644470,ov_pegasus_pole_n_dance_42.0404_12.6445,Pegasus Pole N Dance,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/pegasus_pole_n_dance_42.0404_12.6445.json,custom
42.048587,12.647866,ov_crossfit_mentana_42.0486_12.6479,CrossFit Mentana,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/crossfit_mentana_42.0486_12.6479.json,custom
42.048133,12.640012,ov_piscina_all_aperto_ippocampo_sporting_li_42.0481_12.6400,Piscina all'aperto Ippocampo Sporting Life,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/piscina_allaperto_ippocampo_sporting_lif_42.0481_12.6400.json,custom
42.047907,12.639373,ov_atd_tennis___padel_life_42.0479_12.6394,ATD Tennis & Padel LIFE,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/atd_tennis_padel_life_42.0479_12.6394.json,custom
42.048718,12.639155,ov_ibeach___monterotondo_42.0487_12.6392,IBeach - Monterotondo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/ibeach_-_monterotondo_42.0487_12.6392.json,custom
42.051031,12.630742,ov_alex_e_marina_salsa_bachata_mambo_42.0510_12.6307,Alex e Marina Salsa Bachata Mambo,GYM,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/alex_e_marina_salsa_bachata_mambo_42.0510_12.6307.json,custom
42.040340,12.644735,osm_centro_fitness_energym_42.0403_12.6447,Centro Fitness Energym,palestra,palestra,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/centro_fitness_energym_42.0403_12.6447.json,custom
42.036090,12.638448,ov_muga___museo_garibaldino_42.0361_12.6384,MuGa - Museo Garibaldino,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/muga_-_museo_garibaldino_42.0361_12.6384.json,custom
42.034515,12.637714,ov_mucam_42.0345_12.6377,MuCaM,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/mucam_42.0345_12.6377.json,custom
42.035421,12.638496,ov_museo_delle_scienze_naturali_42.0354_12.6385,Museo delle Scienze Naturali,MUSEUM,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/museo_delle_scienze_naturali_42.0354_12.6385.json,custom
42.035895,12.638501,ov_monumento_ossario_dei_garibaldini_caduti_42.0359_12.6385,Monumento Ossario dei Garibaldini Caduti,MONUMENT,monumento,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/monumento_ossario_dei_garibaldini_caduti_42.0359_12.6385.json,custom
42.056661,12.697223,osm_poste_italiane_42.0567_12.6972,Poste italiane,ufficio_postale,ufficio_postale,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/poste_italiane_42.0567_12.6972.json,custom
42.033581,12.637710,ov_biblioteca_comunale_carlo_magno_42.0336_12.6377,Biblioteca Comunale Carlo Magno,LIBRARY,biblioteca,https://raw.githubusercontent.com/pasqualelembo78/huntix-poi/main/italia/lazio/mentana/pages/biblioteca_comunale_carlo_magno_42.0336_12.6377.json,custom
